"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2483","User login with wrong email or password","LMS system","Mon Jul 20 15:46:44 UTC 2026","passed","Mon Jul 20 15:46:46 UTC 2026","Authorization","Authentication","",""
"","1624","Check displaying of empty courses list","LMS system","Mon Jul 20 15:46:54 UTC 2026","passed","Mon Jul 20 15:46:55 UTC 2026","Courses","Courses","",""
"","2071","Navigation from login page to registration page","LMS system","Mon Jul 20 15:46:49 UTC 2026","passed","Mon Jul 20 15:46:51 UTC 2026","Authorization","Authentication","",""
"","1968","User login with wrong email or password","LMS system","Mon Jul 20 15:46:48 UTC 2026","passed","Mon Jul 20 15:46:50 UTC 2026","Authorization","Authentication","",""
"","2741","Create course","LMS system","Mon Jul 20 15:46:55 UTC 2026","passed","Mon Jul 20 15:46:58 UTC 2026","Courses","Courses","",""
"","2033","User login with wrong email or password","LMS system","Mon Jul 20 15:46:47 UTC 2026","passed","Mon Jul 20 15:46:49 UTC 2026","Authorization","Authentication","",""
"","1896","Registration with correct email, username and password","LMS system","Mon Jul 20 15:46:51 UTC 2026","passed","Mon Jul 20 15:46:53 UTC 2026","Registration","Authentication","",""
"","3940","User login with correct email or password","LMS system","Mon Jul 20 15:46:44 UTC 2026","passed","Mon Jul 20 15:46:47 UTC 2026","Authorization","Authentication","",""
"","2152","Check displaying of dashboard page","LMS system","Mon Jul 20 15:46:58 UTC 2026","passed","Mon Jul 20 15:47:01 UTC 2026","Dashboard","Dashboard","",""
"","3326","Editing course","LMS system","Mon Jul 20 15:46:56 UTC 2026","passed","Mon Jul 20 15:46:59 UTC 2026","Courses","Courses","",""
