"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1428","test_wrong_email_or_password_authorization[  -password]","tests.authentication","2026-04-08","passed","2026-04-08","TestAuthorization","test_authorization","",""
"","1931","test_edit_course","tests.courses","2026-04-08","passed","2026-04-08","TestCourses","test_courses","",""
"","0","test_login","tests.pytest","2026-04-08","passed","2026-04-08","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","2026-04-08","passed","2026-04-08","TestUserAuthentication","test_markers","",""
"","1","test_critical_login","tests.pytest","2026-04-08","passed","2026-04-08","","test_markers","",""
"","2775","test_successful_authorization","tests.authentication","2026-04-08","passed","2026-04-08","TestAuthorization","test_authorization","",""
"","0","test_forgot_password_link","tests.pytest","2026-04-08","passed","2026-04-08","TestUserInterface","test_markers","",""
"","1276","test_empty_courses_list","tests.courses","2026-04-08","passed","2026-04-08","TestCourses","test_courses","",""
"","1304","test_wrong_email_or_password_authorization[user.name@gmail.com-  ]","tests.authentication","2026-04-08","passed","2026-04-08","TestAuthorization","test_authorization","",""
"","1653","test_create_course","tests.courses","2026-04-08","passed","2026-04-08","TestCourses","test_courses","",""
"","1269","test_wrong_email_or_password_authorization[user.name@gmail.com-password]","tests.authentication","2026-04-08","passed","2026-04-08","TestAuthorization","test_authorization","",""
"","1659","test_successful_registration","tests.authentication","2026-04-08","passed","2026-04-08","TestRegistration","test_registration","",""
"","1249","test_dashboard_displaying","tests.dashboard","2026-04-08","passed","2026-04-08","TestDashboard","test_dashboard","",""
"","0","test_password_reset","tests.pytest","2026-04-08","passed","2026-04-08","TestUserAuthentication","test_markers","",""
"","1458","test_navigate_from_authorization_to_registration","tests.authentication","2026-04-08","passed","2026-04-08","TestAuthorization","test_authorization","",""
"","0","test_regression_case","tests.pytest","2026-04-08","passed","2026-04-08","","test_markers","",""
